section	app	icon	resolved_path	format	resolve_status	surface_status
resolved	KwikDisk	kwikdisk	/usr/share/icons/hicolor/48x48/apps/kwikdisk.png	png	resolved	loaded_texture
iconless	Welcome Center	start-here-kde-plasma			missing	not_loaded
resolved	Zen Browser	zen-browser	/usr/share/icons/hicolor/48x48/apps/zen-browser.png	png	resolved	loaded_texture
iconless	Konsole	utilities-terminal			missing	not_loaded
resolved	Dolphin	org.kde.dolphin	/home/home/.cache/wayspot/icons/icon-4030910184.png	png	resolved	loaded_texture
resolved	JADX GUI	jadx	/usr/share/icons/hicolor/48x48/apps/jadx.png	png	resolved	loaded_texture
iconless	Steam	steam			missing	not_loaded
resolved	Logic sniffer	/opt/ols/ols.png	/opt/ols/ols.png	png	resolved	loaded_texture
resolved	LibreOffice Draw	libreoffice-draw	/usr/share/icons/hicolor/48x48/apps/libreoffice-draw.png	png	resolved	loaded_texture
resolved	Discord	discord	/usr/share/icons/hicolor/256x256/apps/discord.png	png	resolved	loaded_texture
resolved	Kate	kate	/usr/share/icons/hicolor/48x48/apps/kate.png	png	resolved	loaded_texture
resolved	Brave	brave-desktop	/usr/share/icons/hicolor/48x48/apps/brave-desktop.png	png	resolved	loaded_texture
resolved	Neovim	nvim	/usr/share/icons/hicolor/128x128/apps/nvim.png	png	resolved	loaded_texture
resolved	Gwenview	gwenview	/usr/share/icons/hicolor/48x48/apps/gwenview.png	png	resolved	loaded_texture
summary	app_rows=105	resolved=74	iconless=31	unsupported=0	surface_ok=74	surface_failed=0	skipped=0
